ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Bj-1-1,Bj,1,+,,,Norman2003
Ty-1-2,Ty,1,+,,,Norman2003
Yz-1-3,Yz,1,+,,,Norman2003
Sz-1-4,Sz,1,−,,,Norman2003
Wz-1-5,Wz,1,−,,,Norman2003
Cs-1-6,Cs,1,+,,,Norman2003
Sf-1-7,Sf,1,+,,,Norman2003
Nc-1-8,Nc,1,−,,,Norman2003
Mx-1-9,Mx,1,−,,,Norman2003
Gz-1-10,Gz,1,−,,,Norman2003
Jy-1-11,Jy,1,−,,,Norman2003
Bj-2-12,Bj,2,+,,,Norman2003
Ty-2-13,Ty,2,+,,,Norman2003
Yz-2-14,Yz,2,+,,,Norman2003
Sz-2-15,Sz,2,−,,,Norman2003
Wz-2-16,Wz,2,−,,,Norman2003
Cs-2-17,Cs,2,−,,,Norman2003
Sf-2-18,Sf,2,−,,,Norman2003
Nc-2-19,Nc,2,−,,,Norman2003
Mx-2-20,Mx,2,−,,,Norman2003
Gz-2-21,Gz,2,−,,,Norman2003
Jy-2-22,Jy,2,−,,,Norman2003
Bj-3-23,Bj,3,+,,,Norman2003
Ty-3-24,Ty,3,+,,,Norman2003
Yz-3-25,Yz,3,+,,,Norman2003
Sz-3-26,Sz,3,+,,,Norman2003
Wz-3-27,Wz,3,+,,,Norman2003
Cs-3-28,Cs,3,+,,,Norman2003
Sf-3-29,Sf,3,+,,,Norman2003
Nc-3-30,Nc,3,+,,,Norman2003
Mx-3-31,Mx,3,−,,,Norman2003
Gz-3-32,Gz,3,−,,,Norman2003
Jy-3-33,Jy,3,−,,,Norman2003
Bj-4-34,Bj,4,+,,,Norman2003
Ty-4-35,Ty,4,+,,,Norman2003
Yz-4-36,Yz,4,+,,,Norman2003
Sz-4-37,Sz,4,+,,,Norman2003
Wz-4-38,Wz,4,+,,,Norman2003
Cs-4-39,Cs,4,+,,,Norman2003
Sf-4-40,Sf,4,+,,,Norman2003
Nc-4-41,Nc,4,+,,,Norman2003
Mx-4-42,Mx,4,−,,,Norman2003
Gz-4-43,Gz,4,−,,,Norman2003
Jy-4-44,Jy,4,+,,,Norman2003
Bj-5-45,Bj,5,+,,,Norman2003
Ty-5-46,Ty,5,+,,,Norman2003
Yz-5-47,Yz,5,+,,,Norman2003
Sz-5-48,Sz,5,−,,,Norman2003
Wz-5-49,Wz,5,−,,,Norman2003
Cs-5-50,Cs,5,+,,,Norman2003
Sf-5-51,Sf,5,−,,,Norman2003
Nc-5-52,Nc,5,−,,,Norman2003
Mx-5-53,Mx,5,−,,,Norman2003
Gz-5-54,Gz,5,−,,,Norman2003
Jy-5-55,Jy,5,−,,,Norman2003
Bj-6-56,Bj,6,+,,,Norman2003
Ty-6-57,Ty,6,+,,,Norman2003
Yz-6-58,Yz,6,+,,,Norman2003
Sz-6-59,Sz,6,+,,,Norman2003
Wz-6-60,Wz,6,−,,,Norman2003
Cs-6-61,Cs,6,+,,,Norman2003
Sf-6-62,Sf,6,+,,,Norman2003
Nc-6-63,Nc,6,+,,,Norman2003
Mx-6-64,Mx,6,−,,,Norman2003
Gz-6-65,Gz,6,−,,,Norman2003
Jy-6-66,Jy,6,−,,,Norman2003
Bj-7-67,Bj,7,+,,,Norman2003
Ty-7-68,Ty,7,+,,,Norman2003
Yz-7-69,Yz,7,+,,,Norman2003
Sz-7-70,Sz,7,−,,,Norman2003
Wz-7-71,Wz,7,−,,,Norman2003
Cs-7-72,Cs,7,−,,,Norman2003
Sf-7-73,Sf,7,−,,,Norman2003
Nc-7-74,Nc,7,−,,,Norman2003
Mx-7-75,Mx,7,+,,,Norman2003
Gz-7-76,Gz,7,−,,,Norman2003
Jy-7-77,Jy,7,−,,,Norman2003
Bj-8-78,Bj,8,+,,,Norman2003
Ty-8-79,Ty,8,+,,,Norman2003
Yz-8-80,Yz,8,+,,,Norman2003
Sz-8-81,Sz,8,−,,,Norman2003
Wz-8-82,Wz,8,−,,,Norman2003
Cs-8-83,Cs,8,+,,,Norman2003
Sf-8-84,Sf,8,+,,,Norman2003
Nc-8-85,Nc,8,−,,,Norman2003
Mx-8-86,Mx,8,−,,,Norman2003
Gz-8-87,Gz,8,−,,,Norman2003
Jy-8-88,Jy,8,−,,,Norman2003
Bj-9-89,Bj,9,+,,,Norman2003
Ty-9-90,Ty,9,+,,,Norman2003
Yz-9-91,Yz,9,+,,,Norman2003
Sz-9-92,Sz,9,−,,,Norman2003
Wz-9-93,Wz,9,−,,,Norman2003
Cs-9-94,Cs,9,+,,,Norman2003
Sf-9-95,Sf,9,+,,,Norman2003
Nc-9-96,Nc,9,+,,,Norman2003
Mx-9-97,Mx,9,−,,,Norman2003
Gz-9-98,Gz,9,−,,,Norman2003
