Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				
^	NULL				
^*	NULL	*dzi⁶, *pho⁵	Common_Chinese	31	U+005e U+002a
^*h	h	*hiot⁷, *huo³	Common_Chinese	2	U+005e U+002a U+0068
^*hh	ɦ	*hha⁴	Common_Chinese	1	U+005e U+002a U+0068 U+0068
^*s	s	*si⁵, *sam¹	Common_Chinese	3	U+005e U+002a U+0073
^*sh	ʂ	*shiou³, *shyi³	Common_Chinese	3	U+005e U+002a U+0073 U+0068
^b	b	bɐʔ⁸, baŋ⁶	Suzhou, Jiangshan	5	U+005e U+0062
^d	d	dzɯə⁶	Jiangshan	2	U+005e U+0064
^dʑ	dʑ	dʑin⁶, dʑiaŋ⁴	Jiangshan, Suzhou	4	U+005e U+0064 U+0291
^f	f	fo³, fɯə⁴	Jiangyong, Guangzhou, Heping, Nanchang, Meixian	6	U+005e U+0066
^g	g	gɯ⁶, gœ̃⁴	Jiangshan	2	U+005e U+0067
^h	h	huaiŋ¹, hn̍ʔ⁴	Heping, Zhenqian, Guangzhou, Meixian, Jiangyong, Nanchang, Suzhou	18	U+005e U+0068
^i	i	iɕu³	Heping	1	U+005e U+0069
^ie	i/j e	ie¹	Jiangyong	1	U+005e U+0069 U+0065
^io	i/j o	ioŋ⁵	Zhenqian	1	U+005e U+0069 U+006f
^iε	i/j ε	iε¹	Jiangshan	1	U+005e U+0069 U+03b5
^j	j	jyt⁸, ji⁶	Guangzhou	2	U+005e U+006a
^k	k	kon¹, kaʔ⁷	Jianchuan, Guangzhou, Zhenqian, Meixian, Jiangshan, Heping, Jiangyong, Nanchang, Suzhou, Beijing	29	U+005e U+006b
^kʰ	kʰ	kʰo⁵, kʰiu⁵	Heping, Meixian, Jiangshan, Guangzhou, Zhenqian	10	U+005e U+006b U+02b0
^l	l	liu², li²	Jiangyong, Jiangshan, Guangzhou, Heping, Nanchang, Zhenqian, Meixian, Beijing, Suzhou	20	U+005e U+006c
^n	n	ni⁶, niu²	Heping, Zhenqian, Meixian, Suzhou, Jiangshan, Jiangyong, Jianchuan, Nanchang, Beijing	13	U+005e U+006e
^p	p	pon⁵, pe⁸	Jiangyong, Jianchuan, Guangzhou, Zhenqian, Beijing, Jiangshan, Heping, Nanchang, Meixian, Suzhou	22	U+005e U+0070
^pʰ	pʰ	pʰo⁵, pʰi²	Nanchang, Meixian, Heping, Jiangshan, Guangzhou, Jianchuan, Zhenqian, Beijing, Jiangyong, Suzhou	23	U+005e U+0070 U+02b0
^s	s	si⁵, sui³	Meixian, Guangzhou, Nanchang, Jiangshan, Zhenqian, Suzhou, Jianchuan, Heping, Jiangyong, Beijing	62	U+005e U+0073
^t	t	ty⁷, teuŋ³	Zhenqian, Jiangshan, Heping, Guangzhou, Jianchuan, Nanchang, Meixian, Beijing, Suzhou	14	U+005e U+0074
^ts	ts	tsau³, tsuk⁷	Jianchuan, Zhenqian, Guangzhou, Jiangyong, Beijing, Nanchang, Meixian, Suzhou, Jiangshan	31	U+005e U+0074 U+0073
^tsʰ	tsʰ	tsʰoŋ², tsʰɔt⁷	Meixian, Guangzhou, Nanchang, Zhenqian, Jiangshan, Heping, Jiangyong, Suzhou	24	U+005e U+0074 U+0073 U+02b0
^tɕ	tɕ	tɕi¹, tɕiaŋ⁴	Jiangyong, Beijing, Jianchuan, Nanchang, Suzhou	12	U+005e U+0074 U+0255
